model,accuracy,precision,recall,f1,roc_auc,pr_auc,n_samples
m1,0.906,0.9204805491990846,0.9704463208685162,0.9448032883147387,0.9430556437333786,0.987241888321049,2000
m2,0.9235,0.9367382472431804,0.9734620024125452,0.9547471162377995,0.9585784676810643,0.9906374610790912,2000
m3,0.9145,0.9295205083766609,0.9704463208685162,0.9495426379462969,0.9431940829153704,0.9866912068425852,2000
m4,0.915,0.9305555555555556,0.9698431845597105,0.9497932663910219,0.9544314646689099,0.9892001645894446,2000
